"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"""Q014"",""Chemistry"",""The heat of neutralization of a strong acid and strong base is approximately:"",""A) -47.7 kJ/mol;B) -57.1 kJ/mol;C) -67.5 kJ/mol;D) -77.9 kJ/mol"",""B"",""Medium"",""Definition-Based Knowledge"",""Physical Chemistry"",""Thermochemistry"""
"""Q015"",""Chemistry"",""What is the product of the reaction between CH₃CH₂Cl and alcoholic KOH?"",""A) CH₃CH₃;B) CH₂=CH₂;C) CH₃CH₂OH;D) CH₃CHO"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Elimination Reactions"""
"""Q016"",""Chemistry"",""The number of electrons in the outermost shell of chlorine (atomic number 17) is:"",""A) 5;B) 6;C) 7;D) 8"",""C"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Atomic Structure"""
"""Q017"",""Chemistry"",""What is the boiling point of water at 1 atm pressure?"",""A) 0°C;B) 25°C;C) 50°C;D) 100°C"",""D"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""States of Matter"""
"""Q018"",""Chemistry"",""The value of gas constant R in SI units is:"",""A) 0.0821 L·atm/mol·K;B) 8.314 J/mol·K;C) 1.987 cal/mol·K;D) 62.36 L·torr/mol·K"",""B"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Gaseous State"""
"""Q019"",""Chemistry"",""Which compound exhibits geometrical isomerism?"",""A) CH₃CH₃;B) CH₂=CH₂;C) CH₃CH=CHCH₃;D) CH₃CH₂CH₃"",""C"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Isomerism"""
"""Q020"",""Chemistry"",""The standard enthalpy of formation of CO₂(g) is -393.5 kJ/mol. What is the enthalpy change for 2CO₂(g) → 2CO(g) + O₂(g)?"",""A) +393.5 kJ;B) +787 kJ;C) -393.5 kJ;D) -787 kJ"",""B"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Thermochemistry"""
"""Q021"",""Chemistry"",""What is the shape of the NH₃ molecule?"",""A) Linear;B) Trigonal planar;C) Tetrahedral;D) Trigonal pyramidal"",""D"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q022"",""Chemistry"",""The half-life of a first-order reaction is 10 minutes. What is the rate constant?"",""A) 0.0693 min⁻¹;B) 0.139 min⁻¹;C) 0.208 min⁻¹;D) 0.277 min⁻¹"",""A"",""Medium"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q023"",""Chemistry"",""Which of the following is a strong electrolyte?"",""A) CH₃COOH;B) NaCl;C) NH₃;D) H₂O"",""B"",""Easy"",""Conceptual Understanding"",""Physical Chemistry"",""Electrochemistry"""
"""Q024"",""Chemistry"",""The molecular formula of benzene is:"",""A) C₆H₁₂;B) C₆H₆;C) C₆H₈;D) C₆H₁₀"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Hydrocarbons"""
"""Q025"",""Chemistry"",""What is the oxidation number of Mn in KMnO₄?"",""A) +5;B) +6;C) +7;D) +8"",""C"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q026"",""Chemistry"",""The solubility product (Ksp) of AgCl is 1.8 × 10⁻¹⁰. What is the solubility of AgCl in mol/L?"",""A) 1.34 × 10⁻⁵;B) 1.8 × 10⁻⁵;C) 2.25 × 10⁻⁵;D) 3.6 × 10⁻⁵"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q027"",""Chemistry"",""Which metal is extracted by the electrolysis of its molten chloride?"",""A) Iron;B) Sodium;C) Copper;D) Zinc"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Metallurgy"""
"""Q028"",""Chemistry"",""The bond order of O₂ molecule is:"",""A) 1;B) 1.5;C) 2;D) 2.5"",""C"",""Medium"",""Formula Application"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q029"",""Chemistry"",""What is the major product of the reaction between CH₃CH=CH₂ and HBr in the presence of peroxide?"",""A) CH₃CH₂CH₂Br;B) CH₃CHBrCH₃;C) CH₂BrCH₂CH₃;D) CH₃CH₂CHBr₂"",""A"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Addition Reactions"""
"""Q030"",""Chemistry"",""The ideal gas equation is:"",""A) PV = nRT;B) PV = mRT;C) PV = RT/n;D) PV = n/RT"",""A"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Gaseous State"""
"""Q031"",""Chemistry"",""Which of the following is an allotrope of carbon?"",""A) Graphite;B) Quartz;C) Silicon;D) Sulfur"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q032"",""Chemistry"",""The normality of a 0.5 M H₂SO₄ solution is:"",""A) 0.5 N;B) 1 N;C) 1.5 N;D) 2 N"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Solutions"""
"""Q033"",""Chemistry"",""What is the electronic configuration of Fe (atomic number 26)?"",""A) [Ar] 4s² 3d⁶;B) [Ar] 4s¹ 3d⁷;C) [Ar] 4s² 3d⁵;D) [Ar] 3d⁸"",""A"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Atomic Structure"""
"""Q034"",""Chemistry"",""The reaction 2H₂ + O₂ → 2H₂O is an example of:"",""A) Combination;B) Decomposition;C) Displacement;D) Double displacement"",""A"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Reactions"""
"""Q035"",""Chemistry"",""What is the conjugate base of HCO₃⁻?"",""A) H₂CO₃;B) CO₃²⁻;C) H₃O⁺;D) OH⁻"",""B"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Acids and Bases"""
"""Q036"",""Chemistry"",""The enthalpy change for the reaction C(s) + O₂(g) → CO₂(g) is -393.5 kJ/mol. What is ΔH for CO₂(g) → C(s) + O₂(g)?"",""A) -393.5 kJ/mol;B) +393.5 kJ/mol;C) -787 kJ/mol;D) +7870 kJ/mol"",""B"",""Medium"",""Analytical Skills"",""Physical Chemistry"",""Thermochemistry"""
"""Q037"",""Chemistry"",""Which halogen is a liquid at room temperature?"",""A) Fluorine;B) Chlorine;C) Bromine;D) Iodine"",""C"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q038"",""Chemistry"",""The rate law for a reaction is rate = k[A][B]². What is the overall order of the reaction?"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q039"",""Chemistry"",""What is the functional group in aldehydes?"",""A) -OH;B) -CHO;C) -COOH;D) -NH₂"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Functional Groups"""
"""Q040"",""Chemistry"",""The standard electrode potential of Zn²⁺/Zn is -0.76 V. What is the oxidation potential?"",""A) -0.76 V;B) +0.76 V;C) 0 V;D) -1.52 V"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Electrochemistry"""
"""Q041"",""Chemistry"",""Which of the following is a primary alcohol?"",""A) CH₃CH₂OH;B) (CH₃)₂CHOH;C) (CH₃)₃COH;D) CH₃OH"",""A"",""Easy"",""Conceptual Understanding"",""Organic Chemistry"",""Alcohols"""
"""Q042"",""Chemistry"",""The mass percentage of oxygen in H₂O is:"",""A) 88.89%;B) 80%;C) 50%;D) 11.11%"",""A"",""Medium"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q043"",""Chemistry"",""Which gas deviates most from ideal gas behavior?"",""A) He;B) H₂;C) NH₃;D) Ne"",""C"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Gaseous State"""
"""Q044"",""Chemistry"",""What is the catalyst used in the Haber process?"",""A) Iron;B) Platinum;C) Nickel;D) Copper"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Industrial Chemistry"""
"""Q045"",""Chemistry"",""The number of structural isomers of C₄H₁₀ is:"",""A) 2;B) 3;C) 4;D) 5"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Isomerism"""
"""Q046"",""Chemistry"",""What is the pOH of a solution with [OH⁻] = 10⁻³ M?"",""A) 1;B) 3;C) 11;D) 14"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Acids and Bases"""
"""Q047"",""Chemistry"",""Which element is a metalloid?"",""A) Silicon;B) Sulfur;C) Sodium;D) Magnesium"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q048"",""Chemistry"",""The reaction CH₃COOH + NaOH → CH₃COONa + H₂O is an example of:"",""A) Redox reaction;B) Neutralization;C) Precipitation;D) Decomposition"",""B"",""Easy"",""Conceptual Understanding"",""Physical Chemistry"",""Chemical Reactions"""
"""Q049"",""Chemistry"",""What is the bond angle in H₂O?"",""A) 90°;B) 104.5°;C) 109.5°;D) 120°"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q050"",""Chemistry"",""The Faraday constant is approximately:"",""A) 96,500 C/mol;B) 95,500 C/mol;C) 94,500 C/mol;D) 93,500 C/mol"",""A"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Electrochemistry"""
"""Q051"",""Chemistry"",""Which compound is most soluble in water?"",""A) CH₃CH₂CH₃;B) CH₃OH;C) C₆H₆;D) CCl₄"",""B"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Solubility"""
"""Q052"",""Chemistry"",""The empirical formula of a compound with molecular formula C₆H₁₂O₆ is:"",""A) CH₂O;B) C₂H₄O₂;C) C₃H₆O₃;D) C₆H₁₂O₆"",""A"",""Medium"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q053"",""Chemistry"",""What is the coordination number of Na⁺ in NaCl crystal?"",""A) 4;B) 6;C) 8;D) 12"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Solid State"""
"""Q054"",""Chemistry"",""The reaction 2SO₂ + O₂ ⇌ 2SO₃ is exothermic. Increasing temperature will:"",""A) Shift equilibrium to the right;B) Shift equilibrium to the left;C) Have no effect;D) Increase Kc"",""B"",""Medium"",""Analytical Skills"",""Physical Chemistry"",""Chemical Equilibrium"""
"""Q055"",""Chemistry"",""Which of the following is a greenhouse gas?"",""A) N₂;B) O₂;C) CO₂;D) H₂"",""C"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Environmental Chemistry"""
"""Q056"",""Chemistry"",""The order of reactivity of halogens is:"",""A) F > Cl > Br > I;B) I > Br > Cl > F;C) Cl > F > Br > I;D) Br > I > Cl > F"",""A"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Periodic Table"""
" ""Q001"",""Chemistry"",""What is the atomic number of carbon?"",""A) 6;B) 7;C) 8;D) 12"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q002"",""Chemistry"",""The molar mass of water (H₂O) is:"",""A) 16 g/mol;B) 18 g/mol;C) 20 g/mol;D) 22 g/mol"",""B"",""Easy"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q003"",""Chemistry"",""Which gas is known as the laughing gas?"",""A) NO;B) N₂O;C) CO;D) CO₂"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Chemical Compounds"""
"""Q004"",""Chemistry"",""The pH of a 0.01 M HCl solution is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Acids and Bases"""
"""Q005"",""Chemistry"",""What is the oxidation state of sulfur in H₂SO₄?"",""A) +4;B) +6;C) +8;D) -2"",""B"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q006"",""Chemistry"",""The number of moles in 11.2 L of CO₂ at STP is:"",""A) 0.25;B) 0.5;C) 1;D) 2"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Gaseous State"""
"""Q007"",""Chemistry"",""Which element has the highest electronegativity?"",""A) Oxygen;B) Fluorine;C) Chlorine;D) Nitrogen"",""B"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Periodic Trends"""
"""Q008"",""Chemistry"",""The hybridization of carbon in CH₄ is:"",""A) sp;B) sp²;C) sp³;D) dsp²"",""C"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Chemical Bonding"""
"""Q009"",""Chemistry"",""What is the boiling point of water at standard atmospheric pressure?"",""A) 0°C;B) 50°C;C) 100°C;D) 150°C"",""C"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Properties of Matter"""
"""Q010"",""Chemistry"",""The rate constant of a first-order reaction with a half-life of 69.3 s is:"",""A) 0.01 s⁻¹;B) 0.02 s⁻¹;C) 0.03 s⁻¹;D) 0.04 s⁻¹"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q011"",""Chemistry"",""Which of the following is a noble gas?"",""A) Nitrogen;B) Helium;C) Oxygen;D) Hydrogen"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q012"",""Chemistry"",""The enthalpy change for the reaction 2H₂ + O₂ → 2H₂O is:"",""A) Endothermic;B) Exothermic;C) Neutral;D) Zero"",""B"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Thermodynamics"""
"""Q013"",""Chemistry"",""The molecular formula of benzene is:"",""A) C₆H₅;B) C₆H₆;C) C₆H₈;D) C₆H₁₀"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Hydrocarbons"""
"""Q014"",""Chemistry"",""What is the mass of 1 mole of NaCl?"",""A) 48.5 g;B) 58.5 g;C) 68.5 g;D) 78.5 g"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q015"",""Chemistry"",""The equilibrium constant Kc for the reaction N₂ + 3H₂ ⇌ 2NH₃ is expressed in:"",""A) mol/L;B) L/mol;C) (mol/L)⁻²;D) (L/mol)²"",""C"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Equilibrium"""
"""Q016"",""Chemistry"",""Which metal is extracted from bauxite?"",""A) Iron;B) Copper;C) Aluminum;D) Zinc"",""C"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Metallurgy"""
"""Q017"",""Chemistry"",""The bond order of O₂ is:"",""A) 1;B) 1.5;C) 2;D) 2.5"",""C"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q018"",""Chemistry"",""What is the IUPAC name of CH₃CH₂OH?"",""A) Methanol;B) Ethanol;C) Propanol;D) Butanol"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Nomenclature"""
"""Q019"",""Chemistry"",""The number of electrons in the outermost shell of chlorine (atomic number 17) is:"",""A) 5;B) 6;C) 7;D) 8"",""C"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Electronic Configuration"""
"""Q020"",""Chemistry"",""The standard electrode potential of Zn²⁺/Zn is -0.76 V. This indicates:"",""A) Zn is a strong oxidizing agent;B) Zn is a strong reducing agent;C) Zn is neutral;D) Zn cannot undergo redox"",""B"",""Hard"",""Conceptual Understanding"",""Physical Chemistry"",""Electrochemistry"""
"""Q021"",""Chemistry"",""Which gas deviates most from ideal behavior?"",""A) H₂;B) He;C) NH₃;D) O₂"",""C"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Gaseous State"""
"""Q022"",""Chemistry"",""The functional group in aldehydes is:"",""A) -OH;B) -CHO;C) -COOH;D) -NH₂"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Functional Groups"""
"""Q023"",""Chemistry"",""What is the molarity of a solution containing 0.1 mol of NaOH in 500 mL?"",""A) 0.1 M;B) 0.2 M;C) 0.3 M;D) 0.4 M"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Solutions"""
"""Q024"",""Chemistry"",""Which of the following is a transition element?"",""A) Sodium;B) Iron;C) Aluminum;D) Potassium"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q025"",""Chemistry"",""The heat of neutralization of a strong acid and strong base is approximately:"",""A) -47.7 kJ/mol;B) -57.1 kJ/mol;C) -67.3 kJ/mol;D) -77.5 kJ/mol"",""B"",""Medium"",""Definition-Based Knowledge"",""Physical Chemistry"",""Thermodynamics"""
"""Q026"",""Chemistry"",""The shape of SF₆ molecule is:"",""A) Tetrahedral;B) Trigonal bipyramidal;C) Octahedral;D) Square planar"",""C"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q027"",""Chemistry"",""What is the product of the reaction between CH₃CH₂Cl and KOH (alcoholic)?"",""A) CH₃CH₂OH;B) CH₂=CH₂;C) CH₃CHO;D) CH₃CH₃"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Reactions of Haloalkanes"""
"""Q028"",""Chemistry"",""The number of structural isomers of C₄H₁₀ is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Isomerism"""
"""Q029"",""Chemistry"",""The SI unit of molarity is:"",""A) mol/kg;B) mol/L;C) g/L;D) mol/m³"",""B"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Solutions"""
"""Q030"",""Chemistry"",""Which element forms a basic oxide?"",""A) Sulfur;B) Phosphorus;C) Sodium;D) Chlorine"",""C"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Oxides"""
"""Q031"",""Chemistry"",""The rate of a reaction doubles for every 10°C rise in temperature. If the temperature increases from 20°C to 40°C, the rate increases by:"",""A) 2 times;B) 4 times;C) 6 times;D) 8 times"",""B"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q032"",""Chemistry"",""The primary standard used in acid-base titration is:"",""A) HCl;B) NaOH;C) Na₂CO₃;D) H₂SO₄"",""C"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Titration"""
"""Q033"",""Chemistry"",""The general formula of alkanes is:"",""A) CnH₂n;B) CnH₂n+2;C) CnH₂n-2;D) CnHn"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Hydrocarbons"""
"""Q034"",""Chemistry"",""What is the coordination number of Fe in [Fe(CN)₆]⁴⁻?"",""A) 4;B) 6;C) 8;D) 12"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Coordination Compounds"""
"""Q035"",""Chemistry"",""The solubility product (Ksp) of BaSO₄ is 1.0 × 10⁻¹⁰. What is its solubility in mol/L?"",""A) 1.0 × 10⁻⁵;B) 2.0 × 10⁻⁵;C) 3.0 × 10⁻⁵;D) 4.0 × 10⁻⁵"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q036"",""Chemistry"",""Which of the following is a greenhouse gas?"",""A) N₂;B) O₂;C) CO₂;D) H₂"",""C"",""Easy"",""Definition-Based Knowledge"",""Environmental Chemistry"",""Atmospheric Chemistry"""
"""Q037"",""Chemistry"",""The bond angle in NH₃ is approximately:"",""A) 90°;B) 104.5°;C) 107°;D) 120°"",""C"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q038"",""Chemistry"",""The reaction CH₃COOH + CH₃OH → CH₃COOCH₃ + H₂O is an example of:"",""A) Addition;B) Substitution;C) Esterification;D) Oxidation"",""C"",""Medium"",""Definition-Based Knowledge"",""Organic Chemistry"",""Reactions of Carboxylic Acids"""
"""Q039"",""Chemistry"",""The atomic radius increases:"",""A) Across a period;B) Down a group;C) From bottom to top;D) Randomly"",""B"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Periodic Trends"""
"""Q040"",""Chemistry"",""The EMF of a Daniell cell (Zn | Zn²⁺ || Cu²⁺ | Cu) is approximately:"",""A) 0.34 V;B) 0.76 V;C) 1.10 V;D) 1.50 V"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Electrochemistry"""
"""Q041"",""Chemistry"",""Which of the following is not a colligative property?"",""A) Boiling point elevation;B) Osmotic pressure;C) Vapor pressure lowering;D) Color change"",""D"",""Easy"",""Conceptual Understanding"",""Physical Chemistry"",""Solutions"""
"""Q042"",""Chemistry"",""The product of ozonolysis of ethene followed by hydrolysis is:"",""A) CH₃CHO;B) HCHO;C) CH₃COOH;D) HCOOH"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Reactions of Alkenes"""
"""Q043"",""Chemistry"",""The oxidation number of Mn in KMnO₄ is:"",""A) +5;B) +6;C) +7;D) +8"",""C"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q044"",""Chemistry"",""The gas liberated when Na reacts with water is:"",""A) O₂;B) H₂;C) CO₂;D) N₂"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""s-Block Elements"""
"""Q045"",""Chemistry"",""The entropy of a system increases in:"",""A) Freezing;B) Condensation;C) Melting;D) Sublimation"",""C"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Thermodynamics"""
"""Q046"",""Chemistry"",""The IUPAC name of CH₃COCH₃ is:"",""A) Propanone;B) Propanal;C) Propanol;D) Propanoic acid"",""A"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Nomenclature"""
"""Q047"",""Chemistry"",""The number of unpaired electrons in Fe²⁺ (atomic number 26) is:"",""A) 2;B) 3;C) 4;D) 5"",""C"",""Hard"",""Analytical Skills"",""Inorganic Chemistry"",""d-Block Elements"""
"""Q048"",""Chemistry"",""The vant Hoff factor for NaCl in water is:"",""A) 1;B) 2 \nWhat is the primary source of energy for Earth's climate system?"",""A) Geothermal energy;B) Solar energy;C) Nuclear energy;D) Tidal energy"",""B"",""Easy"",""Conceptual Understanding"",""Environmental Chemistry"",""Climate Chemistry"""
"""Q049"",""Chemistry"",""Which of the following has the highest boiling point?"",""A) CH₄;B) C₂H₆;C) C₃H₈;D) C₄H₁₀"",""D"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Physical Properties"""
"""Q050"",""Chemistry"",""The value of gas constant R in SI units is:"",""A) 8.314 J/mol·K;B) 0.0821 L·atm/mol·K;C) 8.314 L·atm/mol·K;D) 0.0821 J/mol·K"",""A"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Gaseous State"""
"""Q051"",""Chemistry"",""Which halide ion is the strongest reducing agent?"",""A) F⁻;B) Cl⁻;C) Br⁻;D) I⁻"",""D"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q052"",""Chemistry"",""The catalyst used in the Haber process is:"",""A) Pt;B) Ni;C) Fe;D) Pd"",""C"",""Medium"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Industrial Chemistry"""
"""Q053"",""Chemistry"",""The unit of second-order rate constant is:"",""A) s⁻¹;B) L/mol·s;C) mol/L·s;D) L²/mol²·s"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q054"",""Chemistry"",""Which of the following is an aromatic compound?"",""A) Cyclohexane;B) Benzene;C) Hexane;D) Cyclohexene"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Aromaticity"""
"""Q055"",""Chemistry"",""The degree of dissociation of a weak electrolyte increases with:"",""A) Increase in concentration;B) Decrease in concentration;C) Increase in temperature;D) Decrease in temperature"",""B"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q056"",""Chemistry"",""The electronic configuration of Cr (atomic number 24) is:"",""A) [Ar] 4s²3d⁴;B) [Ar] 4s¹3d⁵;C) [Ar] 3d⁶;D) [Ar] 4s²3d³"",""B"",""Hard"",""Analytical Skills"",""Inorganic Chemistry"",""Electronic Configuration"""
"""Q057"",""Chemistry"",""The reaction of an alkene with KMnO₄ produces:"",""A) Alcohol;B) Aldehyde;C) Diol;D) Carboxylic acid"",""C"",""Medium"",""Analytical Skills"",""Organic Chemistry"","""
" ""Q001"",""Physics"",""What is the SI unit of force?"",""A) Newton;B) Joule;C) Watt;D) Pascal"",""A"",""Easy"",""Definition-Based Knowledge"",""Mechanics"",""Units and Dimensions"""
"""Q002"",""Physics"",""A body moves with a constant speed of 10 m/s for 5 s. What is the distance covered?"",""A) 40 m;B) 50 m;C) 60 m;D) 70 m"",""B"",""Easy"",""Formula Application"",""Mechanics"",""Kinematics"""
"""Q003"",""Physics"",""The acceleration due to gravity on Earth is approximately:"",""A) 9.8 m/s²;B) 8.9 m/s²;C) 10 m/s²;D) 9.6 m/s²"",""A"",""Easy"",""Definition-Based Knowledge"",""Mechanics"",""Gravitation"""
"""Q004"",""Physics"",""A car accelerates uniformly from rest to 20 m/s in 4 s. What is its acceleration?"",""A) 2 m/s²;B) 4 m/s²;C) 5 m/s²;D) 6 m/s²"",""C"",""Medium"",""Formula Application"",""Mechanics"",""Kinematics"""
"""Q005"",""Physics"",""What is the work done by a force of 10 N moving an object 5 m in the direction of the force?"",""A) 40 J;B) 50 J;C) 60 J;D) 70 J"",""B"",""Easy"",""Formula Application"",""Mechanics"",""Work and Energy"""
"""Q006"",""Physics"",""The potential energy of a 2 kg mass at a height of 10 m (g = 10 m/s²) is:"",""A) 100 J;B) 150 J;C) 200 J;D) 250 J"",""C"",""Medium"",""Formula Application"",""Mechanics"",""Work and Energy"""
"""Q007"",""Physics"",""What is the momentum of a 5 kg object moving at 4 m/s?"",""A) 10 kg·m/s;B) 15 kg·m/s;C) 20 kg·m/s;D) 25 kg·m/s"",""C"",""Easy"",""Formula Application"",""Mechanics"",""Momentum"""
"""Q008"",""Physics"",""A ball is thrown vertically upward with an initial velocity of 20 m/s. What is the maximum height reached? (g = 10 m/s²)"",""A) 10 m;B) 20 m;C) 30 m;D) 40 m"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Kinematics"""
"""Q009"",""Physics"",""The time period of a simple pendulum of length 1 m (g = 10 m/s²) is:"",""A) 1 s;B) 2 s;C) 3 s;D) 4 s"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Oscillations"""
"""Q010"",""Physics"",""A force of 20 N acts on a 4 kg mass initially at rest. What is its velocity after 5 s?"",""A) 20 m/s;B) 25 m/s;C) 30 m/s;D) 35 m/s"",""B"",""Hard"",""Analytical Skills"",""Mechanics"",""Newton’s Laws"""
"""Q011"",""Physics"",""What is the SI unit of electric charge?"",""A) Ampere;B) Coulomb;C) Volt;D) Ohm"",""B"",""Easy"",""Definition-Based Knowledge"",""Electrodynamics"",""Electrostatics"""
"""Q012"",""Physics"",""The electric field due to a point charge of 2 μC at a distance of 1 m (k = 9 × 10⁹ N·m²/C²) is:"",""A) 1.8 × 10⁴ N/C;B) 2.0 × 10⁴ N/C;C) 2.2 × 10⁴ N/C;D) 2.4 × 10⁴ N/C"",""A"",""Medium"",""Formula Application"",""Electrodynamics"",""Electrostatics"""
"""Q013"",""Physics"",""What is the potential difference across a 5 Ω resistor with a current of 2 A?"",""A) 5 V;B) 10 V;C) 15 V;D) 20 V"",""B"",""Easy"",""Formula Application"",""Electrodynamics"",""Current Electricity"""
"""Q014"",""Physics"",""The power dissipated in a 10 Ω resistor with a current of 3 A is:"",""A) 60 W;B) 80 W;C) 90 W;D) 100 W"",""C"",""Medium"",""Formula Application"",""Electrodynamics"",""Current Electricity"""
